ext	icon	color	name
3gp		#FD971F	3gp
3mf	󰆧	#888888	3DObjectFile
7z		#eca517	7z
a		#dcddd6	StaticLibraryArchive
aac		#00afff	AdvancedAudioCoding
aif		#00afff	AudioInterchangeFileFormat
aiff		#00afff	AudioInterchangeFileFormat
ape		#00afff	MonkeysAudio
apl	⍝	#ffa500	APL
ai		#cbcb41	Ai
android		#34a853	Android
apk		#34a853	apk
app		#9F0500	App
applescript		#6d8085	AppleScript
asc	󰦝	#576d7f	Asc
ass	󰨖	#ffb713	Ass
astro		#e23f67	Astro
awk		#4d5a5e	Awk
azcli		#0078d4	AzureCli
bak	󰁯	#6d8086	Backup
bash		#89e051	Bash
bat		#C1F12E	Bat
bazel		#89e051	Bazel
bib	󱉟	#cbcb41	BibTeX
bicep		#519aba	Bicep
bicepparam		#9f74b3	BicepParameters
bin		#9F0500	Bin
blade.php		#f05340	Blade
blend	󰂫	#ea7600	Blender
bmp		#a074c4	Bmp
bqn	⎉	#2b7067	BQN
blp	󰺾	#5796E2	Blueprint
brep	󰻫	#839463	BoundaryRepresentation
bz		#eca517	Bz
bz2		#eca517	Bz2
bz3		#eca517	Bz3
bzl		#89e051	Bzl
c		#599eff	C
c++		#f34b7d	CPlusPlus
cache		#ffffff	Cache
cast		#FD971F	Asciinema
cbl	⚙	#005ca5	Cobol
cc		#f34b7d	CPlusPlus
ccm		#f34b7d	CPlusPlusModule
cfg		#6d8086	Configuration
cjs		#cbcb41	Cjs
clj		#8dc149	Clojure
cljc		#8dc149	ClojureC
cljs		#519aba	ClojureJS
cljd		#519aba	ClojureDart
cmake		#6d8086	CMake
cob	⚙	#005ca5	Cobol
cobol	⚙	#005ca5	Cobol
coffee		#cbcb41	Coffee
conf		#6d8086	Conf
config.ru		#701516	ConfigRu
cp		#519aba	Cp
cpp		#519aba	Cpp
cppm		#519aba	Cppm
cpy	⚙	#005ca5	Cobol
cr		#c8c8c8	Crystal
crdownload		#44cda8	Crdownload
cs	󰌛	#596706	Cs
csh		#4d5a5e	Csh
cshtml	󱦗	#512bd4	RazorPage
cson		#cbcb41	Cson
csproj	󰪮	#512bd4	CSharpProject
css		#42a5f5	Css
csv		#89e051	Csv
cts		#519aba	Cts
cu		#89e051	cuda
cue	󰲹	#ed95ae	Cue
cuh		#a074c4	cudah
cxx		#519aba	Cxx
cxxm		#519aba	Cxxm
d		#427819	D
d.ts		#d59855	TypeScriptDeclaration
dart		#03589C	Dart
db		#dad8d8	Db
dconf		#ffffff	Dconf
desktop		#563d7c	DesktopEntry
diff		#41535b	Diff
dll		#4d2c0b	Dll
doc	󰈬	#185abd	Doc
Dockerfile	󰡨	#458ee6	Dockerfile
docx	󰈬	#185abd	Docx
dot	󱁉	#30638e	Dot
download		#44cda8	Download
drl		#ffafaf	Drools
dropbox		#0061FE	Dropbox
dump		#dad8d8	Dump
dwg	󰻫	#839463	AutoCADDwg
dxf	󰻫	#839463	AutoCADDxf
ebook		#eab16d	Ebook
edn		#519aba	Edn
eex		#a074c4	Eex
ejs		#cbcb41	Ejs
elf		#9F0500	Elf
el		#8172be	Elisp
elc		#8172be	Elisp
elm		#519aba	Elm
eln		#8172be	Elisp
env		#faf743	Env
eot		#ECECEC	EmbeddedOpenTypeFont
epp		#FFA61A	Epp
epub		#eab16d	Epub
erb		#701516	Erb
erl		#B83998	Erl
ex		#a074c4	Ex
exe		#9F0500	Exe
exs		#a074c4	Exs
f#		#519aba	Fsharp
f3d	󰻫	#839463	Fusion360
f90	󱈚	#734f96	Fortran
fbx	󰆧	#888888	3DObjectFile
fcbak		#cb0d0d	FreeCAD
fcmacro		#cb0d0d	FreeCAD
fcmat		#cb0d0d	FreeCAD
fcparam		#cb0d0d	FreeCAD
fcscript		#cb0d0d	FreeCAD
fcstd		#cb0d0d	FreeCAD
fcstd1		#cb0d0d	FreeCAD
fctb		#cb0d0d	FreeCAD
fctl		#cb0d0d	FreeCAD
fdmdownload		#44cda8	Fdmdownload
flac		#0075aa	FreeLosslessAudioCodec
flc		#ECECEC	FIGletFontControl
flf		#ECECEC	FIGletFontFormat
fnl		#fff3d7	Fennel
fish		#4d5a5e	Fish
fs		#519aba	Fs
fsi		#519aba	Fsi
fsscript		#519aba	Fsscript
fsx		#519aba	Fsx
gcode	󰐫	#1471ad	GCode
gd		#6d8086	GDScript
gemspec		#701516	Gemspec
gif		#a074c4	Gif
git		#F14C28	GitLogo
glb		#FFB13B	BinaryGLTF
gleam		#ffaff3	Gleam
gnumakefile		#6d8086	Makefile
go		#519aba	Go
godot		#6d8086	GodotProject
gql		#e535ab	GraphQL
gradle		#005f87	Gradle
graphql		#e535ab	GraphQL
gresource		#ffffff	GTK
gv	󱁉	#30638e	Gv
gz		#eca517	Gz
h		#a074c4	H
haml		#eaeae1	Haml
hx		#ea8220	Haxe
hbs		#f0772b	Hbs
hex		#2e63ff	Hexadecimal
heex		#a074c4	Heex
hh		#a074c4	Hh
hpp		#a074c4	Hpp
hrl		#B83998	Hrl
hs		#a074c4	Hs
htm		#e34c26	Htm
html		#e44d26	Html
huff	󰡘	#4242c7	Huff
hurl		#ff0288	Hurl
hxx		#a074c4	Hxx
ixx		#519aba	Ixx
ico		#cbcb41	Ico
ical		#2B2e83	Ical
icalendar		#2B2e83	Icalendar
ics		#2B2e83	Ics
ifb		#2B2e83	Ifb
ifc	󰻫	#839463	Ifc
ige	󰻫	#839463	Ige
iges	󰻫	#839463	Iges
igs	󰻫	#839463	Igs
image		#d0bec8	Image
img		#d0bec8	Img
import		#ECECEC	ImportConfiguration
info		#ffffcd	Info
ini		#6d8086	Ini
ino		#56b6c2	Arduino
iso		#d0bec8	Iso
ipynb		#51a0cf	Notebook
java		#cc3e44	Java
jl		#a270ba	Jl
jwmrc		#0078cd	JWM
jpeg		#a074c4	Jpeg
jpg		#a074c4	Jpg
js		#cbcb41	Js
json		#cbcb41	Json
json5		#cbcb41	Json5
jsonc		#cbcb41	Jsonc
jsx		#20c2e3	Jsx
jxl		#a074c4	JpegXl
kbx	󰯄	#737672	Kbx
kdb		#529b34	Kdb
kdbx		#529b34	Kdbx
kdenlive		#83b8f2	Kdenlive
kdenlivetitle		#83b8f2	Kdenlive
kicad_dru		#ffffff	KiCad
kicad_mod		#ffffff	KiCad
kicad_pcb		#ffffff	KiCad
kicad_prl		#ffffff	KiCad
kicad_pro		#ffffff	KiCad
kicad_sch		#ffffff	KiCad
kicad_sym		#ffffff	KiCad
kicad_wks		#ffffff	KiCad
ko		#dcddd6	LinuxKernelObject
kpp		#f245fb	Krita
kra		#f245fb	Krita
krz		#f245fb	Krita
ksh		#4d5a5e	Ksh
kt		#7F52FF	Kotlin
kts		#7F52FF	KotlinScript
lck		#bbbbbb	Lock
leex		#a074c4	Leex
less		#563d7c	Less
lff		#ECECEC	LibrecadFontFile
lhs		#a074c4	Lhs
lib		#4d2c0b	Lib
license		#cbcb41	License
liquid		#95BF47	Liquid
lock		#bbbbbb	Lock
log	󰌱	#dddddd	Log
lrc	󰨖	#ffb713	Lrc
lua		#51a0cf	Lua
luac		#51a0cf	Lua
luau		#00a2ff	Luau
m3u	󰲹	#ed95ae	M3u
m3u8	󰲹	#ed95ae	M3u8
m4a		#00afff	MPEG4
m4v		#FD971F	M4V
magnet		#a51b16	Magnet
makefile		#6d8086	Makefile
markdown		#dddddd	Markdown
material	󰔉	#B83998	Material
md		#dddddd	Md
md5	󰕥	#8c86af	Md5
mdx		#519aba	Mdx
mint	󰌪	#87c095	Mint
mjs		#f1e05a	Mjs
mk		#6d8086	Makefile
mkv		#FD971F	Mkv
ml		#e37933	Ml
mli		#e37933	Mli
m		#599eff	ObjectiveC
mm		#519aba	ObjectiveCPlusPlus
mo	∞	#9772FB	Motoko
mobi		#eab16d	Mobi
mojo		#ff4c1f	Mojo
🔥		#ff4c1f	Mojo
mov		#FD971F	MOV
mp3		#00afff	MPEGAudioLayerIII
mp4		#FD971F	Mp4
mpp		#519aba	Mpp
msf		#137be1	Thunderbird
mts		#519aba	Mts
mustache		#e37933	Mustache
nfo		#ffffcd	Nfo
nim		#f3d400	Nim
nix		#7ebae4	Nix
nswag		#85ea2d	Nswag
nu	>	#3aa675	Nushell
o		#9F0500	ObjectFile
obj	󰆧	#888888	3DObjectFile
ogg		#0075aa	OggVorbis
opus		#0075aa	OpusAudioFile
org		#77AA99	OrgMode
otf		#ECECEC	OpenTypeFont
out		#9F0500	Out
part		#44cda8	Part
patch		#41535b	Patch
pck		#6d8086	PackedResource
pcm		#0075aa	PulseCodeModulation
pdf		#b30b00	Pdf
php		#a074c4	Php
pl		#519aba	Pl
pls	󰲹	#ed95ae	Pls
ply	󰆧	#888888	3DObjectFile
pm		#519aba	Pm
png		#a074c4	Png
po		#2596be	Localization
pot		#2596be	Localization
pp		#FFA61A	Pp
ppt	󰈧	#cb4a32	Ppt
prisma		#5a67d8	Prisma
pro		#e4b854	Prolog
ps1	󰨊	#4273ca	PsScriptfile
psd1	󰨊	#6975c4	PsManifestfile
psm1	󰨊	#6975c4	PsScriptModulefile
psb		#519aba	Psb
psd		#519aba	Psd
pub	󰷖	#e3c58e	Pub
pxd		#5aa7e4	Pxd
pxi		#5aa7e4	Pxi
py		#ffbc03	Py
pyc		#ffe291	Pyc
pyd		#ffe291	Pyd
pyi		#ffbc03	Pyi
pyo		#ffe291	Pyo
pyw		#5aa7e4	Pyw
pyx		#5aa7e4	Pyx
qm		#2596be	Localization
qml		#40cd52	Qt
qrc		#40cd52	Qt
qss		#40cd52	Qt
query		#90a850	Query
r	󰟔	#2266ba	R
rake		#701516	Rake
rar		#eca517	Rar
razor	󱦘	#512bd4	RazorPage
rb		#701516	Rb
res		#cc3e44	ReScript
resi		#f55385	ReScriptInterface
rlib		#dea584	Rlib
rmd		#519aba	Rmd
rproj	󰗆	#358a5b	Rproj
rs		#dea584	Rs
rss		#FB9D3B	Rss
sass		#f55385	Sass
sbt		#cc3e44	sbt
scad		#f9d72c	OpenSCAD
scala		#cc3e44	Scala
sc		#cc3e44	ScalaScript
scm	󰘧	#eeeeee	Scheme
scss		#f55385	Scss
sh		#4d5a5e	Sh
sha1	󰕥	#8c86af	Sha1
sha224	󰕥	#8c86af	Sha224
sha256	󰕥	#8c86af	Sha256
sha384	󰕥	#8c86af	Sha384
sha512	󰕥	#8c86af	Sha512
sig	λ	#e37933	Sig
signature	λ	#e37933	Signature
skp	󰻫	#839463	SketchUp
sldasm	󰻫	#839463	SolidWorksAsm
sldprt	󰻫	#839463	SolidWorksPrt
slim		#e34c26	Slim
sln		#854CC7	Sln
slvs	󰻫	#839463	SolveSpace
sml	λ	#e37933	Sml
so		#dcddd6	SharedObject
sol		#519aba	Solidity
spec.js		#cbcb41	SpecJs
spec.jsx		#20c2e3	JavaScriptReactSpec
spec.ts		#519aba	SpecTs
spec.tsx		#1354bf	TypeScriptReactSpec
sql		#dad8d8	Sql
sqlite		#dad8d8	Sql
sqlite3		#dad8d8	Sql
srt	󰨖	#ffb713	Srt
ssa	󰨖	#ffb713	Ssa
